amp-wp-title,amp-wp-title href,large-screen-excerpt
Latur to Hingoli,https://bustimings.in/msrtc/latur-hingoli/amp/,Dep. Time Route Name Bus service type 05:00 LATUR to AMRAVATI via AHMADPUR ORDINARY EXPRESS 05:30 LATUR to KALAMNOORI DAY…
Washim to Dhule,https://bustimings.in/msrtc/washim-dhule/amp/,Dep. Time Route Name Bus service type 07:14 KARANJA to DHULE via RISOD DAY ORDINARY
Solapur to Satara,https://bustimings.in/msrtc/solapur-satara/amp/,Dep. Time Route Name Bus service type 07:00 AKKALKOT MANDIR to MAHAD via SATARA ORDINARY EXPRESS 07:30 SOLAPUR to SATARA…
Sangli to Shirdi,https://bustimings.in/msrtc/sangli-shirdi/amp/,Dep. Time Route Name Bus service type 05:45 SANGLI to KOKAMTHAN ORDINARY EXPRESS
Satara to Solapur,https://bustimings.in/msrtc/satara-solapur/amp/,Dep. Time Route Name Bus service type 05:30 SATARA to SOLAPUR via KHATAV ORDINARY EXPRESS 06:15 WAI to SOLAPUR ORDINARY…
Parbhani to Thane,https://bustimings.in/msrtc/parbhani-thane/amp/,Dep. Time Route Name Bus service type Quota Type 18:45 PARBHANI to MUMBAI CENTRAL SEMI LUXURY General
Sangli to Nasik,https://bustimings.in/msrtc/sangli-nasik/amp/,Dep. Time Route Name Bus service type 05:00 SANGLI to NASIK CBS via SHIVAJI NAGAR PUNE SEMI LUXURY 06:00 MIRAJ…
Jalna to Shirdi,https://bustimings.in/msrtc/jalna-shirdi/amp/,Dep. Time Route Name Bus service type 07:00 KARANJA to SHIRDI ORDINARY EXPRESS 08:30 WASHIM to SHIRDI ORDINARY EXPRESS 09:45…
Yavatmal to Jalna,https://bustimings.in/msrtc/yavatmal-jalna/amp/,Dep. Time Route Name Bus service type 06:00 NAGPUR to AURANGABAD via YAVATMAL ORDINARY EXPRESS 06:30 YAVATMAL to JALNA ORDINARY…
Solapur to Thane,https://bustimings.in/msrtc/solapur-thane/amp/,Dep. Time Route Name Bus service type 07:45 SOLAPUR to BORIVALI SUKURWADI SEMI LUXURY 09:30 SOLAPUR to BHIVANDI ORDINARY EXPRESS…
Hingoli to Nagpur,https://bustimings.in/msrtc/hingoli-nagpur/amp/,Dep. Time Route Name Bus service type 07:20 AMBAJOGAI to NAGPUR ORDINARY EXPRESS 08:00 PARBHANI to NAGPUR SEMI LUXURY 19:30…
Yavatmal to Dhule,https://bustimings.in/msrtc/yavatmal-dhule/amp/,Dep. Time Route Name Bus service type 10:00 YAVATMAL to DHULE ORDINARY EXPRESS
Washim to Parbhani,https://bustimings.in/msrtc/washim-parbhani/amp/,Dep. Time Route Name Bus service type 06:00 AMRAVATI to PANDHARPUR DAY ORDINARY 09:15 AKOLA to PANDHARPUR ORDINARY EXPRESS 09:30…
parbhani to kolhapur,https://bustimings.in/msrtc/parbhani-kolhapur/amp/,Dep. Time Route Name Bus service type 05:00 PARBHANI to KOLHAPUR DAY ORDINARY 11:45 HINGOLI to KOLHAPUR SEMI LUXURY 17:00…
sangli to solapur,https://bustimings.in/msrtc/sangli-solapur/amp/,Dep. Time Route Name Bus service type 05:00 SANGLI to HYDERABAD ORDINARY EXPRESS 05:00 KOLHAPUR to SOLAPUR ORDINARY EXPRESS 06:30…
Jalna to Pune,https://bustimings.in/msrtc/jalna-pune/amp/,Dep. Time Route Name Bus service type 06:00 JAFRABAD to SHIVAJI NAGAR PUNE via AURANGABAD ORDINARY EXPRESS 06:00 JALNA to…
Washim to Nanded,https://bustimings.in/msrtc/washim-nanded/amp/,Dep. Time Route Name Bus service type 05:30 AMRAVATI to KANDHAR ORDINARY EXPRESS 06:30 AKOLA to HYDERABAD DAY ORDINARY 07:00…
Wardha to Nagpur,https://bustimings.in/msrtc/wardha-nagpur/amp/,Dep. Time Route Name Bus service type 05:30 MAHUR to TUMSAR ORDINARY EXPRESS 06:00 MAHUR to SAKOLI via WARDHA ORDINARY…
Wardha to Yavatmal,https://bustimings.in/msrtc/wardha-yavatmal/amp/,Dep. Time Route Name Bus service type 05:00 NAGPUR to UMARKHED via JAWALA ORDINARY EXPRESS 05:45 NAGPUR to MAHUR ORDINARY…
Nanded to Satara,https://bustimings.in/msrtc/nanded-satara/amp/,Dep. Time Route Name Bus service type 07:30 NANDED to SATARA ORDINARY EXPRESS
Shirdi to Dhule,https://bustimings.in/msrtc/shirdi-dhule/amp/,Dep. Time Route Name Bus service type 06:00 SHIRDI to BHUSAVAL DAY ORDINARY 14:30 SHIRDI to BHUSAVAL DAY ORDINARY 16:00…
Thane to Shirdi,https://bustimings.in/msrtc/thane-shirdi/amp/,Service No Trip Route Trip Timings Bus Type 5047 NLR - VSP(HIRE) 00:45 → 07:00 SUPER LUXURY 4278 GNT -…
Satara to Latur,https://bustimings.in/msrtc/satara-latur/amp/,Dep. Time Route Name Bus service type 07:30 SATARA to NANDED ORDINARY EXPRESS 09:00 SATARA to AUSA via BARSHI ORDINARY…
Pune to Yavatmal,https://bustimings.in/msrtc/pune-yavatmal/amp/,Dep. Time Route Name Bus service type 14:30 CHINCHWAD to YAVATMAL via WASHIM SEMI LUXURY
